id,first_name,last_name,email,birth_date,country,gpa,major
28,Tracy,Gager,tgagerr@illinois.edu,5/21/1920,Thailand,2.46,6
29,Ritchie,Morpeth,rmorpeths@tmall.com,10/27/1960,Poland,3.52,1
30,Imogen,Cleare,iclearet@seesaa.net,7/30/1994,Poland,1.91,8
31,Jillana,Ranyell,jranyellu@furl.net,1/4/1974,Colombia,3.41,7
32,Pavlov,Jacomb,pjacombv@nsw.gov.au,6/28/1986,Dominican Republic,2.45,4
33,Stacee,Pearle,spearlew@altervista.org,9/5/1961,Malta,2.91,4
34,Joseph,Gallafant,jgallafantx@timesonline.co.uk,5/27/1990,China,1.77,10
35,Meyer,Haggarth,mhaggarthy@xinhuanet.com,3/4/1943,Cyprus,2.24,9
36,Brendan,Shayes,bshayesz@ed.gov,6/16/1962,France,3.54,5
37,Sondra,Janata,sjanata10@google.nl,1/24/1934,Ivory Coast,3.57,11
38,Lilly,Sinnie,lsinnie11@topsy.com,7/15/1958,Philippines,1.66,2
39,Clerc,Lefever,clefever12@cbc.ca,10/16/1988,Canada,2.53,2
40,Ashley,Twinbrow,atwinbrow13@cbc.ca,12/5/1946,Slovenia,2.46,10
41,Denna,Krink,dkrink14@51.la,9/4/1965,China,2.16,2
42,Malory,Cicchillo,mcicchillo15@senate.gov,5/29/1937,Panama,2.14,9
43,Elden,Berzen,eberzen16@newsvine.com,11/2/1944,China,3.34,3
44,Lane,Gulston,lgulston17@abc.net.au,10/15/1985,Bahrain,2.46,5
45,Dannel,Dudek,ddudek18@businesswire.com,10/1/1975,Dominican Republic,3.94,1
46,Nonah,Hardey,nhardey19@jugem.jp,8/4/1921,China,3.53,7
47,Letitia,Saurin,lsaurin1a@hatena.ne.jp,1/2/1963,Philippines,3.63,9
48,Efren,Tippell,etippell1b@gnu.org,1/8/1997,Jordan,1.88,3
49,Maegan,Gover,mgover1c@stanford.edu,6/11/1953,Philippines,1.95,8
50,Moll,MacLice,mmaclice1d@shareasale.com,11/24/1987,Poland,3.49,10
51,Germaine,Tuminelli,gtuminelli1e@acquirethisname.com,8/30/1980,China,2.34,6
52,Janene,Erlam,jerlam1f@goo.ne.jp,2/24/1951,Indonesia,2.07,1
53,Linus,Ferries,lferries1g@msu.edu,11/20/1967,Russia,2.84,2
54,Hetti,Gauntley,hgauntley1h@google.nl,2/24/1947,Brazil,1.91,1
55,Aldo,Waldron,awaldron1i@hud.gov,8/24/1948,Pakistan,3.11,7
56,Lauree,Prowse,lprowse1j@mail.ru,11/8/1977,Philippines,2.2,8
57,Lyndel,Iannello,liannello1k@usda.gov,6/12/1981,China,1.74,12
58,Gaultiero,Hutcheons,ghutcheons1l@trellian.com,3/17/1957,Portugal,2.62,6
59,Ree,Addicott,raddicott1m@tamu.edu,5/29/1981,France,3.54,6
60,Jania,Woolland,jwoolland1n@marketwatch.com,2/3/1933,Venezuela,3.36,8
61,Corliss,Stapylton,cstapylton1o@youtu.be,3/12/1985,Philippines,2.73,8
62,Ado,Melpuss,amelpuss1p@oaic.gov.au,4/17/1922,China,3.33,1
63,Barret,Woolens,bwoolens1q@sina.com.cn,3/1/1978,China,2.87,7
64,Amory,Linklater,alinklater1r@nps.gov,9/11/1945,Russia,3.0,2
65,Shelby,Tandy,standy1s@moonfruit.com,10/6/1933,China,3.83,5
66,Berkly,Baldelli,bbaldelli1t@upenn.edu,11/3/1960,China,1.55,11
67,Marisa,Gaddes,mgaddes1u@disqus.com,5/4/1941,Latvia,3.14,6
68,Rorie,Hurling,rhurling1v@google.nl,7/18/1935,Armenia,3.81,10
69,Ambrosio,Harte,aharte1w@unesco.org,7/25/1963,Greece,2.82,9
70,Silvio,Rizzillo,srizzillo1x@umn.edu,6/11/1929,Portugal,3.52,9
71,Wilone,Miskimmon,wmiskimmon1y@comsenz.com,12/27/1997,Azerbaijan,2.58,2
72,Tedman,Bryning,tbryning1z@xinhuanet.com,9/7/1997,Greece,2.25,11
73,Teressa,Duhig,tduhig20@dot.gov,7/4/1968,Mexico,3.57,6
74,Abey,Caves,acaves21@nature.com,4/13/1933,Mali,3.35,6
75,Nancey,Van de Vlies,nvandevlies22@java.com,8/26/1981,Greece,3.37,12
76,Liva,Alcott,lalcott23@angelfire.com,7/4/1929,China,3.68,5
77,Selestina,Charpling,scharpling24@google.com,3/7/1965,Pakistan,1.82,3
78,Mag,Panter,mpanter25@woothemes.com,1/8/1997,Brazil,3.72,2
79,Shermy,Plews,splews26@weibo.com,7/3/1993,Portugal,3.78,11
80,Kendal,Petherick,kpetherick27@spiegel.de,6/30/1945,China,2.7,7
81,Koral,Flooks,kflooks28@com.com,3/7/1983,Russia,1.82,5
82,Karee,Oguz,koguz29@people.com.cn,4/20/1996,Indonesia,3.15,11
83,Kathleen,Frearson,kfrearson2a@ning.com,8/16/1931,Mongolia,2.9,7
84,Tabbatha,Totterdell,ttotterdell2b@squarespace.com,3/3/1939,Bangladesh,3.73,3
85,Jessamine,Tante,jtante2c@phoca.cz,2/3/1924,China,3.1,4
86,Kerr,Klimkin,kklimkin2d@craigslist.org,8/27/1935,Brazil,3.16,6
87,Gertrud,Summerrell,gsummerrell2e@quantcast.com,4/22/1995,Sweden,3.11,2
88,Tom,Calderon,tcalderon2f@shinystat.com,9/8/1941,France,2.56,12
89,Vevay,Jacox,vjacox2g@blog.com,9/30/1996,Jordan,3.35,7
90,Kevon,Moogan,kmoogan2h@tripadvisor.com,10/26/1949,China,2.65,10
91,Sheri,Siddle,ssiddle2i@discuz.net,1/29/1986,Portugal,2.89,6
92,Hercule,Retter,hretter2j@usatoday.com,3/30/1927,China,3.5,12
93,Karlene,Fedder,kfedder2k@slashdot.org,7/11/1959,United States,2.63,1
94,Shae,Sherborn,ssherborn2l@ihg.com,2/13/1929,Portugal,3.08,3
95,Arlana,Dockwra,adockwra2m@slideshare.net,4/14/1995,Azerbaijan,3.14,7
96,Matthiew,Daniels,mdaniels2n@wired.com,5/13/1971,China,3.73,2
97,Barty,Shere,bshere2o@live.com,12/16/1944,China,2.41,3
98,Frannie,Anthill,fanthill2p@storify.com,10/23/1957,South Africa,2.66,9
99,Garrek,Pedder,gpedder2q@miitbeian.gov.cn,6/4/1978,Indonesia,2.65,10
100,Alisun,Castaner,acastaner2r@msn.com,5/13/1923,Indonesia,2.22,3
101,Waring,Jagoe,wjagoe2s@naver.com,7/29/1921,Malaysia,3.67,9
102,Bernita,Boynton,bboynton2t@altervista.org,7/1/1956,Greece,2.36,1
103,Shelia,Loades,sloades2u@reuters.com,12/26/1934,China,1.77,8
104,Boris,Kentish,bkentish2v@tiny.cc,12/29/1948,Indonesia,3.3,7
105,Gil,Darwood,gdarwood2w@sun.com,1/1/1990,Myanmar,2.97,12
106,Andie,Fawcitt,afawcitt2x@pbs.org,8/11/1982,France,2.67,10
107,Uta,Molineaux,umolineaux2y@1und1.de,10/9/1994,Kenya,2.73,4
108,Dex,Wellard,dwellard2z@mashable.com,4/27/1951,Japan,3.61,6
109,Natividad,Sermin,nsermin30@admin.ch,2/4/1962,Russia,3.9,10
110,Preston,Fossitt,pfossitt31@nsw.gov.au,9/5/1989,Mongolia,1.53,7
111,Blaine,Bullen,bbullen32@globo.com,4/30/1940,China,1.61,5
112,Charles,Gumbley,cgumbley33@reverbnation.com,5/21/1933,Russia,1.9,4
113,Berkeley,Pycock,bpycock34@smugmug.com,11/19/1983,Indonesia,1.58,7
114,Dacie,Elsdon,delsdon35@redcross.org,9/2/1943,Ivory Coast,2.92,10
115,Garry,Capnor,gcapnor36@bbc.co.uk,4/14/1983,Indonesia,1.66,10
116,Carlita,Glen,cglen37@youtu.be,7/10/1964,Philippines,2.19,3
117,Nathan,MacCracken,nmaccracken38@gov.uk,6/24/1932,Uzbekistan,2.18,9
118,Rosalinde,Speight,rspeight39@linkedin.com,9/28/1986,Albania,3.09,10
119,Barbi,Harbor,bharbor3a@prnewswire.com,8/4/1927,Norway,2.69,6
120,Kippie,Chaplyn,kchaplyn3b@virginia.edu,2/24/1939,China,2.15,8
121,Kaile,Defty,kdefty3c@hostgator.com,11/19/1991,China,3.35,3
122,Ursuline,Beneze,ubeneze3d@goo.ne.jp,2/8/1997,Russia,2.45,12
123,Mariya,Beany,mbeany3e@icq.com,10/4/1969,Indonesia,3.22,10
124,Stacee,Godly,sgodly3f@indiegogo.com,3/27/1998,Serbia,3.21,12
125,Anitra,Jeaneau,ajeaneau3g@gnu.org,6/25/1951,Poland,2.81,7
126,Ewen,Pirolini,epirolini3h@accuweather.com,3/24/1983,China,1.68,11
127,Birch,Quiddington,bquiddington3i@ebay.co.uk,10/3/1925,Norway,3.78,4
128,Katheryn,Hugueville,khugueville3j@ifeng.com,7/16/1957,Indonesia,1.51,7
129,Sileas,Meneely,smeneely3k@geocities.jp,9/26/1940,Venezuela,3.6,1
130,Myrtice,Mallord,mmallord3l@sina.com.cn,10/5/1940,Sweden,1.82,2
131,Jeanne,Wildbore,jwildbore3m@geocities.jp,1/24/1963,South Africa,3.63,10
132,Glyn,Willets,gwillets3n@uol.com.br,6/11/1931,Russia,1.64,8
133,Hayyim,Penlington,hpenlington3o@ca.gov,8/6/1935,Ukraine,3.49,3
134,Calypso,Bertwistle,cbertwistle3p@chronoengine.com,6/20/1941,Thailand,3.79,12
135,Franciskus,MacIlwrick,fmacilwrick3q@mit.edu,8/26/1997,Brazil,3.37,2
136,Kerwin,Nibley,knibley3r@nydailynews.com,9/12/1964,Czech Republic,3.1,7
137,Hubey,Denne,hdenne3s@amazon.com,6/11/1993,Thailand,2.05,3
138,Grissel,Ireson,gireson3t@wsj.com,3/4/1985,Thailand,2.23,5
139,Andee,Mynett,amynett3u@dmoz.org,8/22/1924,Brazil,2.38,3
140,Denyse,Campanelle,dcampanelle3v@joomla.org,5/13/1962,Croatia,2.28,10
141,Carrissa,Worsfield,cworsfield3w@usnews.com,1/26/1986,Philippines,2.83,10
142,Patricia,Frizell,pfrizell3x@wunderground.com,4/13/1932,Iran,3.33,9
143,Agnes,Cardello,acardello3y@webeden.co.uk,12/1/1946,Japan,3.06,4
144,Egon,Lyard,elyard3z@mysql.com,11/19/1961,Sweden,2.08,10
145,Alyda,Jime,ajime40@upenn.edu,9/21/1987,Sweden,2.15,11
146,Rosalinde,Bridgstock,rbridgstock41@cnn.com,2/26/1920,Netherlands,3.98,12
147,Krystle,Christer,kchrister42@oakley.com,7/18/1992,Portugal,2.14,9
148,Shermy,Curnok,scurnok43@webmd.com,9/24/1955,South Korea,2.59,7
149,Tracee,Bawle,tbawle44@guardian.co.uk,5/25/1921,Russia,2.89,4
150,Kitti,Albasini,kalbasini45@goo.ne.jp,5/6/1990,Netherlands,3.66,4
151,Samantha,Klishin,sklishin46@whitehouse.gov,10/16/1980,Mexico,4.0,4
152,Hermy,Caddies,hcaddies47@wisc.edu,12/29/1988,Peru,2.57,10
153,Mathias,Ethersey,methersey48@forbes.com,6/23/1953,Honduras,2.75,4
154,Coriss,Cumes,ccumes49@nba.com,6/14/1999,Philippines,1.73,4
155,Giles,Benda,gbenda4a@imageshack.us,6/10/1934,Portugal,2.48,6
156,Emory,Adamiak,eadamiak4b@cnn.com,8/2/1944,Italy,1.89,4
157,Jilleen,McCloud,jmccloud4c@blogspot.com,9/23/1977,Argentina,2.32,10
158,Sharyl,Jumel,sjumel4d@ft.com,6/22/1956,China,2.05,4
159,Emeline,Kindley,ekindley4e@constantcontact.com,12/28/1959,China,3.17,7
160,Adaline,Maher,amaher4f@upenn.edu,1/5/1956,Ukraine,2.32,12
161,Esdras,Leitch,eleitch4g@state.gov,1/9/1948,Serbia,2.25,12
162,Jaime,Bidgood,jbidgood4h@ocn.ne.jp,11/3/1934,Palestinian Territory,3.95,6
163,Judi,Maleck,jmaleck4i@ocn.ne.jp,12/20/1987,China,3.64,4
164,Dulcia,Crosbie,dcrosbie4j@eepurl.com,9/4/1956,Sweden,1.59,4
165,Tobe,Applegate,tapplegate4k@unblog.fr,7/9/1963,Indonesia,1.88,5
166,Konstantin,Pulman,kpulman4l@ft.com,8/27/1976,Sweden,3.74,5
167,Westley,Gaskill,wgaskill4m@apache.org,7/6/1927,Indonesia,3.02,8
168,Decca,Durdan,ddurdan4n@printfriendly.com,9/19/1983,China,2.14,1
169,Nicholle,Bending,nbending4o@pcworld.com,7/31/1949,Morocco,3.18,12
170,Damita,Penas,dpenas4p@usatoday.com,7/29/1989,Ukraine,1.59,7
171,Harman,Harses,hharses4q@i2i.jp,7/29/1981,Russia,3.79,3
172,Lennard,Donisi,ldonisi4r@topsy.com,6/10/1996,Croatia,3.66,1
173,Chev,Bute,cbute4s@csmonitor.com,8/17/1925,Portugal,3.17,1
174,Korney,Tunkin,ktunkin4t@infoseek.co.jp,9/21/1950,Philippines,2.63,4
175,Kristy,Pepall,kpepall4u@deliciousdays.com,8/10/1938,Palestinian Territory,1.65,8
176,Adams,McAree,amcaree4v@mlb.com,12/27/1934,China,1.73,10
177,Roosevelt,Shelton,rshelton4w@youtube.com,5/26/1955,Portugal,1.98,4
178,Lanette,Spight,lspight4x@umn.edu,7/21/1949,Argentina,2.96,1
179,Briney,Sivyour,bsivyour4y@usa.gov,12/24/1988,Mexico,3.52,8
180,Reyna,Zuppa,rzuppa4z@wikipedia.org,2/9/1976,Peru,3.9,11
181,Deny,Jolly,djolly50@about.me,3/18/1972,Zimbabwe,1.63,10
182,Colet,Vittery,cvittery51@hibu.com,6/6/1930,Serbia,3.77,2
183,Lyn,Skoof,lskoof52@cdc.gov,5/29/1969,Russia,3.32,1
184,Ajay,Baroche,abaroche53@goo.gl,7/22/1940,Indonesia,3.26,6
185,Hersch,Brundrett,hbrundrett54@yahoo.co.jp,5/18/1961,Portugal,2.02,6
186,Codie,Higgoe,chiggoe55@ca.gov,5/11/1978,Kazakhstan,2.81,11
187,Elyssa,Knolles-Green,eknollesgreen56@addtoany.com,2/27/1993,France,1.84,5
188,Jeana,Garr,jgarr57@parallels.com,11/3/1987,Tanzania,3.11,6
189,Mendie,Fowley,mfowley58@nbcnews.com,8/3/1939,China,2.86,5
190,Kirstin,Shillingford,kshillingford59@etsy.com,4/2/1938,Mexico,2.57,1
191,Isa,Surgen,isurgen5a@yale.edu,5/17/1985,Brazil,1.79,9
192,Winny,Sugge,wsugge5b@ucsd.edu,10/2/1979,China,1.87,8
193,Kori,Gingel,kgingel5c@woothemes.com,8/24/1924,France,3.24,8
194,Sutton,McMennum,smcmennum5d@shutterfly.com,11/29/1944,Panama,2.46,4
195,Noell,Rappport,nrappport5e@ebay.co.uk,6/2/1921,South Korea,2.41,12
196,Deloris,Cramb,dcramb5f@paginegialle.it,5/3/1926,Indonesia,2.97,8
197,Cleon,Clifforth,cclifforth5g@businesswire.com,10/20/1944,Brazil,2.78,6
198,Shaylynn,Skyrme,sskyrme5h@nba.com,5/20/1996,France,3.49,7
199,Gerald,Dugald,gdugald5i@google.com.au,3/23/1986,China,3.72,9
200,Lilyan,Billin,lbillin5j@flickr.com,6/4/1954,China,3.58,5
201,Saxe,Kubin,skubin5k@skype.com,2/2/1946,Peru,1.93,7
202,Helli,Smalcombe,hsmalcombe5l@artisteer.com,11/22/1933,Indonesia,3.19,5
203,Teena,Old,told5m@narod.ru,11/7/1932,China,3.15,12
204,Leonhard,Ivermee,livermee5n@dion.ne.jp,7/12/1949,Indonesia,1.59,8
205,Jeffy,Echelle,jechelle5o@alexa.com,1/3/1934,Russia,2.06,11
206,Archer,O'Lagen,aolagen5p@ameblo.jp,5/16/1980,China,2.38,6
207,Orlan,Patinkin,opatinkin5q@nyu.edu,7/9/1981,Japan,2.34,3
208,Bond,Mewton,bmewton5r@vistaprint.com,6/17/1965,Sweden,2.88,9
209,Wanids,Kiley,wkiley5s@statcounter.com,10/25/1954,Russia,3.13,10
210,Kristine,Martynov,kmartynov5t@goo.ne.jp,5/31/1962,Czech Republic,1.61,7
211,Chaddie,Pepys,cpepys5u@addthis.com,3/24/1923,Malaysia,3.07,10
212,Franky,Redmond,fredmond5v@latimes.com,1/21/1999,Russia,2.71,5
213,Marguerite,Hillborne,mhillborne5w@time.com,9/18/1935,Slovenia,3.05,6
214,Ingeborg,Wackly,iwackly5x@nasa.gov,3/6/1932,Ukraine,2.52,12
215,Madison,Han,mhan5y@nba.com,8/13/1962,Sudan,3.22,6
216,Ronda,Nanson,rnanson5z@myspace.com,7/21/1935,United States,2.3,10
217,Brinn,Bache,bbache60@ow.ly,6/9/1998,China,2.22,3
218,Ryann,Dymott,rdymott61@delicious.com,11/23/1989,Turkmenistan,2.69,5
219,Renae,Page,rpage62@istockphoto.com,7/31/1985,French Guiana,1.63,6
220,Marget,Defau,mdefau63@about.me,8/15/1932,China,2.93,2
221,Marita,Riditch,mriditch64@chronoengine.com,12/3/1975,China,2.15,5
222,Khalil,Cavilla,kcavilla65@google.es,12/16/1987,China,3.8,11
223,Chicky,McLucas,cmclucas66@seattletimes.com,6/1/1991,Sweden,2.63,8
224,Leonanie,Kiehl,lkiehl67@sogou.com,9/19/1947,China,2.28,6
225,Kiley,Trowbridge,ktrowbridge68@yelp.com,6/19/1921,Israel,3.66,1
226,Anastasie,Goggey,agoggey69@thetimes.co.uk,7/28/1986,Poland,1.56,10
227,Kristofor,Armytage,karmytage6a@g.co,7/20/1923,Afghanistan,3.67,6
228,Dalston,Shatliff,dshatliff6b@twitter.com,6/3/1964,China,1.71,2
229,Nicolis,Garrioch,ngarrioch6c@unesco.org,2/10/1983,Canada,3.07,4
230,Debbi,Renard,drenard6d@sphinn.com,1/17/1986,Madagascar,3.63,9
231,Quintana,Jackson,qjackson6e@booking.com,6/16/1921,Philippines,2.22,7
232,Alexia,Pavlovic,apavlovic6f@icio.us,2/1/1951,Honduras,3.76,4
233,Gwendolyn,De Hoogh,gdehoogh6g@blog.com,2/25/1949,Indonesia,2.62,11
234,Grata,Cossey,gcossey6h@hugedomains.com,4/20/1975,Thailand,1.52,5
235,Gerardo,Cana,gcana6i@tinyurl.com,9/25/1940,Russia,2.45,9
236,Kelvin,Jindrak,kjindrak6j@psu.edu,2/28/1924,Greece,1.52,10
237,Sidoney,Hostan,shostan6k@barnesandnoble.com,6/27/1948,Philippines,2.17,4
238,Derrek,Satchell,dsatchell6l@hp.com,11/20/1972,Indonesia,2.08,9
239,Colas,Limpricht,climpricht6m@umn.edu,6/24/1939,Russia,2.26,5
240,Gav,Antrack,gantrack6n@hao123.com,10/17/1927,China,2.64,12
241,Adolphus,Caney,acaney6o@taobao.com,1/13/1982,Chile,1.62,6
242,Harrison,Sans,hsans6p@skype.com,7/25/1991,Philippines,3.7,6
243,Rory,Broscombe,rbroscombe6q@apple.com,2/25/1949,Poland,2.49,10
244,Johannah,Ormistone,jormistone6r@pagesperso-orange.fr,6/5/1986,Greece,2.29,5
245,Abraham,Brooks,abrooks6s@unicef.org,9/5/1996,Indonesia,3.21,1
246,Guendolen,Job,gjob6t@infoseek.co.jp,12/12/1986,Brazil,3.28,7
247,Laure,Le Estut,lleestut6u@360.cn,1/3/1977,Sweden,2.56,5
248,Reynold,Lucien,rlucien6v@wikia.com,8/18/1933,Sweden,3.63,3
249,Leona,McConnel,lmcconnel6w@arizona.edu,2/4/1944,France,2.0,2
250,Care,Roaf,croaf6x@cocolog-nifty.com,8/8/1941,Indonesia,2.75,2
251,Lexy,Littrick,llittrick6y@yelp.com,12/18/1949,Poland,1.87,7
252,Carlina,Orrill,corrill6z@slideshare.net,9/25/1984,Poland,2.46,2
253,Eugenius,Dayes,edayes70@redcross.org,12/14/1952,China,3.17,4
254,Clarine,Burndred,cburndred71@hp.com,4/18/1997,Nigeria,2.02,10
255,Carilyn,Patesel,cpatesel72@netvibes.com,5/18/1952,Brazil,3.34,3
256,Claudette,Verson,cverson73@usgs.gov,4/26/1992,Portugal,3.56,12
257,Joe,MacLeese,jmacleese74@nationalgeographic.com,10/6/1941,Indonesia,3.22,10
258,Sallie,Flinn,sflinn75@patch.com,12/26/1931,Philippines,1.7,4
259,Ozzy,Brede,obrede76@4shared.com,9/27/1942,Philippines,3.99,4
260,Sergent,Fozard,sfozard77@about.com,3/5/1940,Albania,3.2,7
261,Cale,Yeo,cyeo78@ebay.co.uk,1/28/1923,Poland,3.59,11
262,Shanon,Stears,sstears79@mtv.com,10/12/1926,Netherlands,2.1,4
263,Kalina,Sisey,ksisey7a@storify.com,1/7/1927,Nigeria,2.9,4
264,Aleksandr,Drejer,adrejer7b@timesonline.co.uk,10/20/1939,Colombia,2.47,3
265,Andie,Riseam,ariseam7c@nba.com,2/1/1987,Venezuela,1.65,12
266,Kim,McLaggan,kmclaggan7d@amazon.com,7/18/1945,Uganda,2.58,7
267,Massimo,O'Kane,mokane7e@surveymonkey.com,7/22/1978,Philippines,1.66,5
268,Adams,Rishman,arishman7f@1688.com,2/16/1938,Poland,3.96,7
269,Charline,Outhwaite,couthwaite7g@bbb.org,11/3/1968,Palestinian Territory,1.95,12
270,Misty,Gait,mgait7h@huffingtonpost.com,7/11/1996,Austria,3.65,1
271,Alford,Bonson,abonson7i@theatlantic.com,2/23/1969,Indonesia,1.82,9
272,Brigitte,Doogan,bdoogan7j@xing.com,8/2/1978,Russia,2.72,8
273,Daniela,Davidsohn,ddavidsohn7k@hubpages.com,2/3/1991,China,2.32,11
274,Celestina,Nealon,cnealon7l@soundcloud.com,5/26/1975,Russia,1.72,8
275,Helge,Spurman,hspurman7m@smh.com.au,11/23/1945,Russia,3.84,2
276,Pamela,Strangeway,pstrangeway7n@youtu.be,4/26/1941,Portugal,3.64,7
277,Fletcher,Gummoe,fgummoe7o@loc.gov,4/17/1935,France,3.17,6
278,Mitzi,Davisson,mdavisson7p@aol.com,5/14/1939,Russia,3.21,6
279,Leanora,Aleevy,laleevy7q@indiegogo.com,7/23/1933,Indonesia,3.63,6
280,Sigvard,Shelsher,sshelsher7r@dmoz.org,3/16/1947,Cuba,3.22,12
281,Carmela,Jecock,cjecock7s@time.com,7/9/1984,Peru,2.26,4
282,Freedman,Grayland,fgrayland7t@japanpost.jp,9/10/1996,China,2.63,2
283,Darrin,Flintoff,dflintoff7u@adobe.com,7/1/1956,Russia,2.49,7
284,Tim,Baruch,tbaruch7v@tripod.com,3/21/1969,China,2.89,9
285,Louise,Winskill,lwinskill7w@discovery.com,11/12/1926,Albania,2.51,6
286,Nelie,Klyner,nklyner7x@zdnet.com,9/15/1956,Greece,3.23,11
287,Mercedes,Birckmann,mbirckmann7y@google.nl,4/17/1989,Poland,1.74,11
288,Natka,Tuck,ntuck7z@delicious.com,11/25/1935,Latvia,2.02,6
289,Andonis,Lightoller,alightoller80@t-online.de,1/24/1937,Peru,3.84,6
290,Celestina,Sterrie,csterrie81@forbes.com,1/19/1936,China,3.69,9
291,Carena,Yurenev,cyurenev82@cargocollective.com,3/15/1942,Albania,3.51,3
292,Tam,Geare,tgeare83@pagesperso-orange.fr,11/30/1985,Russia,3.87,11
293,Therese,Derington,tderington84@arstechnica.com,7/28/1937,Australia,3.25,5
294,Alecia,Perrycost,aperrycost85@artisteer.com,12/26/1973,Philippines,3.12,1
295,Oriana,Francesconi,ofrancesconi86@sina.com.cn,5/27/1973,Russia,3.98,6
296,Perkin,Sudron,psudron87@baidu.com,11/15/1975,Venezuela,1.52,5
297,Kara,Bleakman,kbleakman88@weibo.com,4/25/1969,France,2.51,12
298,Pascale,McCurt,pmccurt89@deliciousdays.com,8/10/1923,Philippines,2.55,1
299,Claude,Hartfleet,chartfleet8a@hud.gov,11/11/1982,Italy,1.65,5
300,Oralee,Brumby,obrumby8b@marketwatch.com,5/1/1980,China,3.31,6
301,Lucky,Davis,ldavis8c@disqus.com,4/29/1930,Indonesia,2.86,12
302,Heida,Haddy,hhaddy8d@ft.com,7/2/1942,Guatemala,2.14,5
303,Gretchen,Chatell,gchatell8e@elegantthemes.com,5/5/1952,China,2.77,1
304,Tomkin,Langham,tlangham8f@jalbum.net,5/27/1980,Poland,2.51,4
305,Katya,Thal,kthal8g@goo.gl,6/24/1976,Philippines,3.89,11
306,Kayle,L'Episcopi,klepiscopi8h@naver.com,4/1/1985,Indonesia,3.9,6
307,Jessie,Saile,jsaile8i@tinypic.com,8/29/1947,China,2.11,11
308,Terrell,Medling,tmedling8j@skyrock.com,4/17/1987,Philippines,2.39,5
309,Nico,Broxholme,nbroxholme8k@java.com,3/11/1981,Syria,2.05,1
310,Ellie,Spafford,espafford8l@nps.gov,8/16/1999,China,3.97,7
311,Jessika,Vondrach,jvondrach8m@msn.com,8/4/1999,Czech Republic,1.59,7
312,Georgena,Bednell,gbednell8n@wisc.edu,2/10/1958,Philippines,3.12,9
313,Karrah,Cella,kcella8o@cornell.edu,5/12/1950,Netherlands,2.65,8
314,Tate,Yellep,tyellep8p@princeton.edu,6/27/1956,China,1.63,5
315,Denis,Risebarer,drisebarer8q@hhs.gov,7/21/1991,Thailand,2.27,5
316,Toni,Newland,tnewland8r@wunderground.com,5/26/1965,Nigeria,2.13,9
317,Drusy,Tumber,dtumber8s@zdnet.com,7/6/1935,Thailand,3.96,1
318,Frederik,Exton,fexton8t@shinystat.com,2/27/1988,China,2.06,10
319,Wylie,Peachment,wpeachment8u@nytimes.com,1/7/1960,Tanzania,2.18,11
320,Terrijo,Iwanicki,tiwanicki8v@disqus.com,6/17/1946,Philippines,3.53,2
321,Genevieve,MacKowle,gmackowle8w@latimes.com,9/26/1931,China,2.26,7
